year,AFG,PFG,HER
1986,9.9,138.52,148.43
1987,9.04,135.44,144.48
1988,2.31,261.55,263.86
1989,0.35,277.54,277.89
1990,1.89,341.03,342.92
1991,5.94,321.02,326.96
1992,12.15,268.03,280.18
1993,8.55,246.9,255.45
1994,5.5,192.72,198.22
1995,14.22,137.3,151.52
1996,9.86,80.7,90.55
1997,31.96,102.12,134.08
1998,17.15,172.05,189.2
1999,14.82,171.63,186.45
2000,3.5,111.08,114.58
2001,23.95,82.06,106.01
2002,2.38,54.91,57.29
2003,16.57,134.78,151.35
2004,13.18,111.07,124.25
2005,16.3,98.5,114.8
2006,4.86,95.76,100.62
2007,23.33,123.24,146.56
2008,5.32,146.54,151.86
2009,4.03,84.25,88.27
2010,26.54,79.72,106.26
2011,3.7,78.18,81.88
2012,1.33,49.6,50.93
2013,4.77,49.11,53.88
2014,9.72,71,80.72
2015,19.08,68.29,87.37
2016,12.95,76.26,89.21
2017,2.61,77.84,80.45
2018,3.89,35.68,39.57
2019,26.91,63.7,90.61
2020,8.43,53.08,61.51
2021,1,38.56,39.56
2022,5.17,61.81,66.98
2023,14.92,86.51,101.43
