year,AFG,PFG,SHR,TRE,LTR,BGR,annualTemp,annualPrecip
1986,2.72,11.84,10.12,14.45,14.17,25.88,51.24,13.82
1987,2.95,10.23,10.17,15.95,14.53,24.42,49.78,15.15
1988,1.69,16.35,11.05,11.67,14.92,24.1,49.98,9.8
1989,1.61,14.88,9.8,11.81,15.69,25.83,50.79,6.15
1990,1.78,18.11,9.76,10.41,14.83,24.1,50.51,11.43
1991,3.62,16.07,9.3,8.95,15.08,26.78,49.06,11.26
1992,2.39,14.56,7.07,13.48,14.98,25.66,50.52,12.02
1993,3.38,14.32,11.06,12.2,14.03,23.65,49.88,13.29
1994,3.33,11.86,12.12,12.03,14.67,25.5,51.7,10.8
1995,3.54,9.98,10.55,15.72,15.79,23.18,51.57,12.3
1996,2.89,9.17,8.64,15.24,17.35,25.75,52.55,10.85
1997,3.8,8.27,7.76,18.78,16.57,23.31,50.78,14.86
1998,3.58,10.67,8.95,14.77,16.02,24.66,51.14,12.14
1999,2.73,9.9,10.74,14.54,14.85,25.8,51.48,12.05
2000,2.18,9.14,9.97,14.97,15.44,28.1,52.56,10.83
2001,3.19,6.97,10.36,16.85,16.06,25.52,52.32,10.82
2002,2.61,7.56,9.37,15.87,17.27,24.19,51.62,7.94
2003,2.45,11.62,10.35,12.27,15.14,25.2,52.95,9.81
2004,1.82,9.61,8.71,15.61,16.67,26.61,51.09,12.7
2005,1.43,7.38,11.01,15.76,16.12,25.01,52.13,13.3
2006,1.6,9.24,11.48,13.02,16.53,25.66,51.7,13.84
2007,2.8,11,9.92,13.68,16.05,23.07,52.2,12.19
2008,2.34,13.29,8.45,14.58,17.57,22.09,50.33,9.7
2009,3.61,8.64,10.9,13.23,16.95,24.17,50.76,7.79
2010,3.86,6.79,10.35,15.6,16.56,24.62,50.88,11.47
2011,1.44,6.97,9.22,16.6,19.39,23.96,49.7,9.98
2012,1.41,6.49,8.21,17.95,19.18,25.49,53.04,7.26
2013,1.93,5.38,9.55,18.13,17.95,26,49.14,13.64
2014,1.51,4.55,9.61,19.74,16.13,27.14,52.31,9.7
2015,1.87,5.97,10.09,20.12,15.81,24.61,52.11,17.18
2016,1.86,6.04,11.11,19.44,16.48,25.41,51.97,10.45
2017,0.95,5.55,11.21,20,17.06,26.59,53.37,7.63
2018,1.1,5.22,10.33,19.98,16.64,26.73,52.72,8.52
2019,2.7,5.3,9.02,20.02,16.66,22.69,50.1,11.83
2020,2.2,5.71,9.76,18.67,17.71,22.24,52.06,5.69
2021,1.07,4.89,9.98,18.55,16.4,23.72,52.46,11.08
2022,1.36,5.75,10.31,17.02,15.76,25.23,51.2,10.71
2023,2.22,5.37,9.61,19.43,17.21,22.7,50.01,10.58
