year,AFG,PFG,HER
1986,18.21,216.17,234.38
1987,11.53,184.56,196.09
1988,1.48,299.22,300.69
1989,0.26,339.6,339.86
1990,0.78,417.29,418.07
1991,5.71,379.21,384.92
1992,20.4,317.59,337.99
1993,14.21,375.75,389.95
1994,7.73,233.82,241.55
1995,38.91,254.34,293.25
1996,12.36,95.74,108.1
1997,65.46,152.28,217.74
1998,50.23,217.64,267.88
1999,54.08,262.31,316.39
2000,5.15,149.41,154.56
2001,48.69,96.5,145.18
2002,9.69,70.49,80.18
2003,22.97,139.01,161.98
2004,31.06,162.11,193.17
2005,74.22,158.41,232.64
2006,14.47,116.66,131.14
2007,74.32,189.72,264.04
2008,25.57,214.36,239.93
2009,7.37,131.78,139.15
2010,64.1,163.55,227.65
2011,8.08,107.3,115.38
2012,0.86,74.55,75.41
2013,5.87,59.72,65.59
2014,41.51,119.87,161.38
2015,65.33,108.74,174.07
2016,39.12,127.45,166.57
2017,7.28,123.87,131.15
2018,3.27,51.59,54.86
2019,67.78,106.76,174.54
2020,28.04,73.48,101.52
2021,3.9,41.54,45.45
2022,7.84,77.11,84.94
2023,37.74,129.86,167.6
