year,AFG,PFG,SHR,TRE,LTR,BGR,annualTemp,annualPrecip
1986,4.03,17.53,9.12,15.95,15.78,23.1,50.52,14.91
1987,3.14,13.35,10.06,18.8,16.68,21.47,49.08,16.58
1988,0.99,18.98,14.28,12.65,16.44,19.53,49.39,10.87
1989,1.03,17.06,11.82,12.37,17.24,22.85,50.29,6.76
1990,0.76,21.14,9.02,13.07,16.84,20.56,49.81,12.55
1991,3.37,18.14,10.66,10.44,16.73,23.15,48.47,12.36
1992,3.45,16.08,7.19,15.72,16.9,23.02,49.74,13.44
1993,4.65,20.65,12.71,11.35,15.36,19.74,49.17,14.76
1994,3.71,12.87,12.98,14.64,17.26,23.1,51.03,12.08
1995,6.59,14.93,9.77,18.77,17.57,21.16,50.81,13.44
1996,2.75,9.44,7.91,18.89,21.53,25.73,51.73,12.17
1997,5.89,9.53,5.66,24.93,18.79,20.96,49.98,16.25
1998,8.06,11.16,7.87,19.32,19.28,19.96,50.33,13.49
1999,6.53,12.47,10.5,16.24,17.85,21.61,50.79,13.09
2000,1.92,10.05,8.62,19.43,19.41,27.55,51.83,11.99
2001,4.96,6.85,8.9,22.26,19.27,23.46,51.6,11.71
2002,4.5,7.85,8.11,19.73,22.6,22.5,51,8.64
2003,2.52,9.91,10.08,15.7,19.32,25.07,52.32,10.83
2004,2.8,11.25,6.49,19.7,19.79,26.36,50.45,14.1
2005,4.8,9.23,10.79,18.4,18.65,23.99,51.44,14.51
2006,2.7,10.06,11.57,15.84,20.28,22.33,51.1,15.04
2007,6.62,14.05,8.96,15.85,18,20.23,51.6,13.24
2008,6.66,16.29,7.54,15.68,20.84,18.67,49.67,10.58
2009,4.62,10.99,11.54,14.78,20.22,21.45,50.11,8.48
2010,7.06,11.5,11.49,16.58,18.57,22.57,50.18,12.67
2011,2.01,7.75,9.85,18.47,23.9,23.72,49.02,10.85
2012,0.66,7.51,5.81,23.32,25.6,24.58,52.36,7.7
2013,1.49,5.15,8.43,23.42,22.86,25.01,48.48,14.54
2014,3.76,5.76,9.34,23.37,19.21,27.27,51.65,10.44
2015,4.44,7.83,10.78,23.18,18.12,23.43,51.59,18.68
2016,4.03,8.74,12.04,22.14,18.96,21.27,51.37,11.58
2017,1.45,7.63,11.51,23.29,21.4,25.29,52.72,8.43
2018,0.7,6.57,9.86,24.92,20.26,26.86,52.13,9.49
2019,5.26,7.2,8.37,23.22,19.14,21.68,49.51,13.27
2020,4.52,6,9.71,21.02,22.45,22.18,51.5,6.26
2021,1.2,3.96,9.41,24.11,21.54,25.19,51.73,12.36
2022,1.25,5.48,9.25,23.29,19.68,25.85,50.57,11.68
2023,4.03,6.58,10.06,24.91,20.94,21.03,49.58,11.65
