year,AFG,PFG,HER
1986,11.6,121.37,131.26
1987,8.27,144.82,151.38
1988,1.89,197.9,197.8
1989,0.32,215.71,213.86
1990,1.96,247.59,246.9
1991,3.57,254.87,255.67
1992,7.91,225.07,230.38
1993,6.18,200.83,204.42
1994,5.13,182.16,184.93
1995,25.89,166.32,189.46
1996,17.58,110.85,126.56
1997,35.37,130.21,163.32
1998,19.86,170.87,188.22
1999,22.17,177.69,197.18
2000,8.31,131.36,137.6
2001,25.82,121.3,145.08
2002,1.32,72.61,72.76
2003,16.82,143.76,158.48
2004,20.37,126.65,145.03
2005,21.72,116.88,136.54
2006,6.28,93.92,98.72
2007,27.4,136.36,161.58
2008,8.38,152.09,158.42
2009,1.83,77.22,77.92
2010,27.58,117.9,143.33
2011,9.19,122.75,130.18
2012,4.5,77.37,80.83
2013,11.36,85.99,96.11
2014,13.39,110.68,122.39
2015,25.32,88.11,112.12
2016,18.85,95.16,112.65
2017,7.62,104.99,111.23
2018,8,46.49,53.73
2019,43,101.54,142.54
2020,16.22,78.19,93.15
2021,2.98,58.55,60.66
2022,7.6,79.47,85.91
2023,26.16,122.76,146.85
