year,AFG,PFG,SHR,TRE,LTR,BGR,annualTemp,annualPrecip
1986,4.27,12.76,12.72,4.53,11.3,30.97,52.36,11.23
1987,3.39,13.41,12.75,4.84,11.88,29.46,50.91,12.24
1988,2.19,14.46,12.66,4.84,12.38,29.93,50.86,7.46
1989,1.76,14.75,11.2,5.09,12.45,31.93,51.4,5.12
1990,2.44,15.47,11.07,3.54,11.78,33.66,51.53,9.52
1991,3.33,15.23,10.06,3.14,11.95,36,49.88,9.44
1992,2.11,14.67,10.5,4.95,11.28,32.13,52.18,9.15
1993,3.04,13.9,11.77,3.88,10.92,31.04,51.09,9.96
1994,3.57,14,11.95,2.89,10.72,31.18,52.61,8.27
1995,4.83,13.9,11.57,3.37,10.27,27.87,52.95,10.8
1996,4.82,13.36,10.42,3.65,12.56,28.8,54.26,8.34
1997,4.37,11.39,10.72,5.32,12.93,30.91,52.41,12.14
1998,4.55,12.43,10.94,4.26,11.75,31.22,52.63,9.97
1999,4.6,12.71,11.87,3.74,11.25,30.52,52.56,10.24
2000,3.68,12.45,11.69,3.4,11.64,29.72,53.9,8.8
2001,3.69,11.98,12.2,3.63,11.95,29.16,53.59,9.08
2002,2.28,12.13,11.26,3.41,11.85,28.54,52.71,6.8
2003,2.92,14.29,10.8,2.25,11.07,30.72,53.98,7.75
2004,3.1,12.75,11.29,3.21,11.35,31.89,52.45,10.43
2005,2.21,10.1,11.62,4.57,11.04,27.47,53.35,11.36
2006,2.29,11.85,11.43,3.76,11.14,28.99,52.71,11.72
2007,3.51,13.23,10.57,4.65,11.13,27.76,53.48,10.09
2008,2.99,15.23,9.37,5.63,12.69,27.53,51.76,8.38
2009,3.21,10.03,10.47,5.71,12.91,26.72,52.01,6.48
2010,4.35,11.15,10.95,4.25,11.89,27.65,51.99,9.4
2011,3.01,11.76,11.24,4.42,12.79,26.41,50.82,8.24
2012,3.16,10.57,11.02,4.57,12.56,26,54.21,6.4
2013,3.82,10.08,10.96,5.28,12.55,27.77,50.26,12.04
2014,2.45,8.64,11.39,7.75,11.77,25.82,53.28,8.47
2015,2.74,9.57,11.52,7.86,11.98,25.16,53.05,15.2
2016,3.12,8.74,12.28,8.32,13.06,26.61,52.89,8.26
2017,2.44,8.77,12.83,7.09,12.25,25.31,54.3,6.66
2018,2.26,8.05,12.39,6.72,11.58,26.11,53.65,6.92
2019,4.28,9.42,11.88,6.39,11.22,25.53,51.09,9.18
2020,3.77,9.85,11.1,6.85,12.34,25.26,52.92,4.6
2021,2.27,8.85,10.77,6.32,10.94,25.58,53.72,8.71
2022,2.08,8.65,11.73,5.61,10.15,27.33,52.53,9.01
2023,3.65,8.68,11.81,7.43,11.2,27.13,51.69,8.73
