year,AFG,PFG,HER
1986,5.85,65.16,69.71
1987,8.5,106.14,112.85
1988,4.64,145.34,147.83
1989,0.44,164.77,162.88
1990,1.39,149.44,148.58
1991,2.91,135.07,135.87
1992,5.52,127.96,131.26
1993,8.42,124.66,130.81
1994,8.43,103.62,109.98
1995,18.87,102.92,119.18
1996,6.62,80.44,85.02
1997,21.13,74.87,93.84
1998,8.2,94.17,100.3
1999,8.39,109.28,115.34
2000,4.54,89.11,91.49
2001,14.01,93.61,105.22
2002,0.57,53.07,52.19
2003,6.63,84.84,89.52
2004,6.94,87.49,92.39
2005,15.75,84.68,98.2
2006,1.76,69.86,69.96
2007,14.96,92.61,105.18
2008,2.85,101.92,102.61
2009,0.66,61.15,60.26
2010,15.37,72.52,85.83
2011,5.13,72.27,75.63
2012,1.52,52.31,52.43
2013,4.57,52.64,55.81
2014,15.24,64.17,77.56
2015,13.98,69.64,82.08
2016,12.52,71.42,82.32
2017,5.22,64.28,68.15
2018,4.55,41.14,44.63
2019,25.84,69.07,92.83
2020,13.13,63.13,74.47
2021,1.39,44.44,44.65
2022,5.02,48.46,52.27
2023,35.24,68.71,101.85
