year,AFG,PFG,SHR,TRE,LTR,BGR,annualTemp,annualPrecip
1986,3.41,10.69,11.61,3.33,10.38,36.56,54.38,10.09
1987,3.17,12.86,11.47,2.68,10.1,35.37,52.99,10.81
1988,3.05,14.73,11.44,2.09,11.09,36.83,53.11,6.72
1989,2.33,14.98,10.1,1.99,11.05,39.14,53.74,4.5
1990,2.6,13.22,9.67,1.57,10.52,42.22,53.81,8.18
1991,3.42,12.66,8.58,1.53,10.09,44.11,52.04,8.47
1992,1.99,13.02,9.65,2.73,9.86,39.03,53.91,8.23
1993,2.62,13.68,10.28,1.99,9.69,37.52,53.16,9.83
1994,3.19,12.56,10.18,1.81,9.97,37.76,55.05,7.09
1995,3.51,11.4,10.89,1.95,9.34,34.17,54.98,9.21
1996,3.58,11.54,10.54,2.11,10.74,32.96,56.01,7.7
1997,2.84,10.56,10.63,2.79,10.6,34.74,54.15,10.98
1998,2.63,10.93,10.51,2.38,9.65,35.68,54.57,9.03
1999,2.74,11.6,10.48,2.11,9.3,35,54.67,9.08
2000,2.35,11.57,10.1,1.76,9.77,33.87,56.02,7.78
2001,3.1,11.81,10.1,1.61,9.99,35.23,55.72,8.59
2002,2.03,10.27,9.85,1.61,9.92,35.47,54.81,6.25
2003,2.54,12.07,9.08,0.91,9.29,38.45,56.14,6.86
2004,2.46,12.04,9.52,1.23,9.81,38.7,54.46,9.42
2005,2.07,10.81,10.69,2.05,9.38,33.11,55.4,10.16
2006,1.59,10.74,10.39,1.98,9.5,33.35,54.78,10.99
2007,3.06,11.8,10.01,2.22,8.91,32.23,55.67,9.32
2008,2.43,12.92,9.77,2.5,10.24,32.31,53.82,7.57
2009,2.42,9.62,10.15,2.41,10.03,31.43,53.97,5.86
2010,3.05,10.03,10.56,2.06,10.16,34.05,53.79,9.32
2011,2.29,10.01,10.88,2.22,10.85,32.04,52.4,8
2012,2.05,8.86,10.79,2.18,10.23,31.78,56.33,6.01
2013,2.6,8.7,10.82,2.35,9.68,33.7,51.66,11.1
2014,2.13,7.72,11.88,4.01,9.08,30.85,55.25,8.42
2015,2.28,8.74,12.54,4.28,9.75,29.29,55.14,13.87
2016,2.34,8.54,12.49,4.63,10.49,29.24,55.05,8.03
2017,1.87,7.77,13,4.12,10.15,28.79,56.42,6.48
2018,1.49,7.42,12.99,3.55,9.67,30.21,55.65,6.84
2019,2.93,9.12,12.31,3.73,9.78,30.44,53.06,8.8
2020,2.89,9.54,11.34,4.37,10.98,29.32,54.72,4.14
2021,1.53,7.73,11.32,3.84,9.18,28.77,55.43,8.45
2022,1.77,7.64,11.96,3.36,8.66,30.76,54.26,8.06
2023,3.79,8,12.2,3.96,9.58,31.01,53.96,7.97
