year,AFG,PFG,SHR,TRE,LTR,BGR,annualTemp,annualPrecip
1986,6.6,18.72,12.29,5.14,12.94,23.51,51.01,14.03
1987,6.33,16.96,12.75,5.82,13.13,22.58,49.57,15.53
1988,3.18,18.67,13.48,5.49,14.45,21.89,49.74,10.06
1989,1.72,17.2,11.66,6.54,14.52,24.05,50.61,6.28
1990,1.29,16.62,11.69,5.29,13.02,27.4,50.28,11.59
1991,3.65,18.13,10.29,3.55,12.62,28.25,48.87,11.5
1992,2.04,18.37,10.15,6.45,13.1,25.74,50.24,12.42
1993,4.66,18.69,12.5,4.4,11.88,26.72,49.63,13.68
1994,6.03,15.56,12.24,4.51,13.48,28,51.5,11.08
1995,11.84,16.64,10.68,4.74,11.46,23.92,51.34,12.52
1996,7.63,14.2,9.28,4.58,16.55,27.67,52.31,11.2
1997,9.42,13.46,8.99,8.46,14.37,23.73,50.51,15.16
1998,8.73,16.38,9.9,6.9,15.45,21.01,50.9,12.42
1999,7.28,16.02,11.26,6.64,14.48,23.63,51.3,12.2
2000,3.68,15.92,11.49,5.79,15.1,27.93,52.34,11.11
2001,7.38,13.88,12.84,5.27,14.09,27.48,52.08,11.01
2002,4.78,13.52,10.91,4.59,16.16,29.94,51.4,8.1
2003,3.44,16.84,10.05,3.95,13.52,32.16,52.69,10.08
2004,4.45,14.29,10.36,5.82,13.66,31.63,50.83,13
2005,7.79,11.62,11.13,7.4,13.59,25.83,51.9,13.48
2006,3.84,15.11,10.99,6.23,15.06,26.41,51.51,14.05
2007,6.88,15.09,10.06,7.29,13.39,23.2,51.94,12.42
2008,6.03,17.43,9.81,7.42,15.46,21.74,50.01,10.05
2009,4.05,13.47,11.44,7.47,15.96,23.28,50.5,8.2
2010,8.79,14.57,11.94,5.81,13.9,25.87,50.78,11.97
2011,5.03,14.04,10.47,7.02,17.38,26.72,49.46,10.19
2012,3.36,14.22,9.64,7.96,16.88,27.12,52.82,7.27
2013,3.27,12.93,9.85,8.38,16.23,28.97,48.9,13.7
2014,4.22,11.77,10.54,10.29,14.13,26.93,52.17,9.82
2015,5.76,12.26,12.35,10.19,13.57,24.89,52,17.45
2016,4.22,12.95,14.49,9.02,14.19,25.66,51.79,10.73
2017,3.81,11.67,13.83,8.8,15.07,27.28,53.2,7.74
2018,2.33,10.01,12.21,9.22,14.8,29.29,52.56,8.75
2019,8.85,10.58,11.63,9.34,12.93,24.09,49.9,12.49
2020,7.12,11.35,10.7,9.34,15.69,21.52,51.88,5.81
2021,3.46,11.13,10.82,8.88,14.48,25.15,52.21,11.45
2022,2.5,12.16,11.64,8.04,12.98,27.69,50.93,10.87
2023,6.88,11.76,12.3,9.97,13.18,22.52,49.79,10.89
