year,AFG,PFG,HER
1986,22.74,182.22,204.96
1987,21.44,210.77,232.21
1988,4.37,251.14,255.51
1989,0.55,259.67,260.21
1990,0.67,269.95,270.61
1991,3.31,296.74,300.05
1992,7.71,281.1,288.81
1993,11.33,275.21,286.55
1994,15.3,222.14,237.44
1995,77.26,236.63,313.89
1996,37.36,125.41,162.78
1997,101.09,171.92,273.01
1998,56.9,241.2,298.1
1999,55.89,256.15,312.04
2000,9.69,189.34,199.02
2001,62.64,172.08,234.73
2002,9.39,107.55,116.94
2003,23.13,197.9,221.03
2004,43.71,172.34,216.05
2005,101.88,162.95,264.83
2006,15.15,160.27,175.41
2007,63.12,169.95,233.06
2008,21.59,189.67,211.27
2009,3.58,127.7,131.27
2010,73.98,197.9,271.88
2011,23.07,184.83,207.9
2012,5.92,138.51,144.43
2013,10.82,144.29,155.11
2014,35.44,215.36,250.8
2015,66.11,162.6,228.71
2016,32.45,180.29,212.73
2017,14.71,172.45,187.16
2018,9.39,75.56,84.94
2019,113.71,132.31,246.02
2020,40.49,104.7,145.19
2021,10.05,105.44,115.5
2022,12.27,153.27,165.54
2023,59.62,202.58,262.2
