year,AFG,PFG,SHR,TRE,LTR,BGR,annualTemp,annualPrecip
1986,5.65,18.23,12.14,3.9,12.8,25.19,51.2,13.84
1987,5.49,17.34,12.53,4.44,12.97,23.96,49.75,15.28
1988,2.61,18.48,13.22,3.98,14.21,23.13,49.9,9.88
1989,1.46,17.19,11.49,4.61,13.93,25.62,50.75,6.17
1990,1,15.67,11.64,3.59,12.37,29.37,50.46,11.38
1991,3.12,17.88,9.7,2.39,11.98,29.98,49.03,11.3
1992,1.95,18.59,10.1,4.23,12.33,27.45,50.44,12.17
1993,4.45,18.44,11.89,3.08,11.69,28.45,49.81,13.44
1994,5.83,15.48,11.69,3.24,13.17,29.58,51.67,10.84
1995,11.15,16.36,10.38,3.33,11.11,25.28,51.53,12.32
1996,7.07,14.21,8.85,3.26,15.99,28.8,52.5,10.98
1997,9,13.44,8.54,6.85,13.89,25.13,50.71,14.91
1998,9.21,16.34,9.24,5.42,15.13,22.03,51.1,12.18
1999,7.19,16.26,10.81,5.16,14.12,24.71,51.47,12
2000,3.15,16.56,11.11,4.26,14.87,29.07,52.52,10.9
2001,6.78,14.57,12.19,3.78,13.96,28.93,52.26,10.85
2002,4.53,13.83,10.41,3.12,15.88,31.69,51.56,7.98
2003,3.17,17.36,9.67,2.5,13.19,33.92,52.86,9.89
2004,4.39,14.62,10,3.87,13.21,33.64,51,12.73
2005,7.08,11.86,10.85,5.32,13.19,27.62,52.07,13.27
2006,3.46,16.06,10.78,4.37,14.41,27.78,51.67,13.81
2007,6.28,15.55,9.71,5.49,12.99,24.93,52.09,12.24
2008,5.93,17.82,9.55,5.35,14.99,23.21,50.17,9.85
2009,3.96,14.28,10.92,5.56,15.57,24.53,50.66,8.05
2010,8.55,15.52,11.28,3.83,13.72,27.45,50.96,11.72
2011,4.89,15.4,9.87,4.83,17,28.36,49.63,10.03
2012,2.79,16.15,9.06,5.53,16.62,28.26,52.99,7.19
2013,2.97,14.33,9.08,6.03,15.86,30.39,49.05,13.52
2014,3.96,12.95,10.04,7.95,13.49,27.96,52.35,9.69
2015,5.08,13.68,12.05,7.58,13.08,26.23,52.16,17.18
2016,3.66,14.62,14.08,6.43,13.75,27.08,51.96,10.53
2017,3.39,12.74,13.26,6.36,14.74,28.56,53.37,7.58
2018,1.98,10.58,11.83,6.78,14.42,30.78,52.72,8.56
2019,8.6,10.63,11.17,7.15,12.48,26.02,50.06,12.22
2020,7.08,11.08,10.4,7.45,14.98,23.48,52.02,5.71
2021,3.31,11.28,10.39,6.68,13.87,26.81,52.37,11.2
2022,2.35,12.85,11.27,5.66,12.45,29.04,51.06,10.69
2023,6.82,11.99,11.67,7.61,12.76,23.9,49.9,10.7
