year,AFG,PFG,HER
1986,48.62,217.42,266.04
1987,42.94,201.9,244.84
1988,11.01,261.42,272.43
1989,1.22,278.49,279.71
1990,2.49,328.23,330.72
1991,7.5,309.13,316.63
1992,10.02,280.22,290.24
1993,13.79,290.81,304.6
1994,15.18,233.63,248.81
1995,109.82,238.54,348.36
1996,55.11,128.34,183.45
1997,114.71,158.75,273.46
1998,37.65,236.48,274.14
1999,66.44,245.85,312.29
2000,18.62,165.99,184.62
2001,92.63,126.21,218.84
2002,13.11,88.1,101.22
2003,34.1,165.4,199.49
2004,43.4,140.76,184.16
2005,157.74,133.43,291.18
2006,29.64,119.2,148.85
2007,106.64,137.09,243.73
2008,26.02,158.98,184.99
2009,3.96,93.88,97.84
2010,71.64,141.08,212.72
2011,22.14,112.99,135.13
2012,11.12,71.9,83.01
2013,12.83,81.51,94.33
2014,37.65,116.03,153.68
2015,82.45,88.81,171.25
2016,42.22,103.6,145.81
2017,15.79,124.28,140.07
2018,8.89,56.56,65.45
2019,120.7,113.97,234.67
2020,42.45,97.93,140.37
2021,10.04,78.72,88.76
2022,11.34,120.21,131.55
2023,61.78,181.33,243.11
