year,AFG,PFG,SHR,TRE,LTR,BGR,annualTemp,annualPrecip
1986,8.48,18.25,11.8,9.08,12.98,18.53,50.37,14.69
1987,8.49,14.86,12.69,10.11,13.52,18.43,48.95,16.38
1988,4.68,17.66,13.7,9.77,15.25,17.83,49.18,10.73
1989,1.96,15.99,11.49,11.94,16.07,19.08,50.1,6.66
1990,1.83,17.56,11.54,10.03,14.74,21.32,49.65,12.36
1991,4.5,17.5,11.86,6.58,14,22.42,48.31,12.21
1992,2.02,16.74,10.09,12.1,14.88,20.34,49.56,13.3
1993,4.25,16.95,13.53,8.64,12.29,21.67,49.01,14.53
1994,5.16,14.5,13.17,8.54,13.89,23.11,50.9,11.91
1995,12.61,15.23,11.14,8.97,12.12,19.91,50.69,13.23
1996,8.25,12.95,9.83,8.37,17.56,23.78,51.63,11.98
1997,9.46,11.52,9.47,13.03,15.47,20.08,49.84,16.04
1998,6.21,14.84,10.85,11.11,15.87,18.33,50.22,13.28
1999,6.68,13.47,11.44,10.93,15.07,20.72,50.7,12.93
2000,4.5,12.51,11.45,10.43,15.25,24.01,51.71,11.85
2001,8.38,9.93,13.76,9.51,14.29,22.92,51.45,11.58
2002,4.67,10.3,11.31,8.81,16.77,24.87,50.83,8.54
2003,3.67,12.92,10.29,8.26,14.34,26.78,52.12,10.75
2004,3.87,11.02,10.46,11.36,14.82,26.55,50.26,13.92
2005,9.56,9.17,10.66,12.69,14.33,20.87,51.3,14.23
2006,4.54,10.74,10.37,11.11,16.7,22.58,50.97,14.87
2007,8.61,11.65,9.68,12.09,14.37,18.54,51.42,13.08
2008,6.19,13.85,9.31,13.46,16.86,17.84,49.46,10.78
2009,3.11,9.5,11.83,12.9,16.81,19.61,49.93,8.7
2010,7.59,10.57,12.83,10.96,14.35,20.88,50.16,12.85
2011,4.3,9.27,11.11,12.7,18.41,21.46,48.88,10.75
2012,3.71,8.07,9.97,13.95,17.64,23.66,52.22,7.57
2013,3.23,7.68,9.92,14.89,17.57,25.3,48.36,14.33
2014,3.73,6.75,9.98,17.28,16.11,24,51.56,10.3
2015,5.71,7.43,11.13,17.37,14.79,21.25,51.44,18.42
2016,4.06,7.88,12.88,15.72,15.35,21.88,51.22,11.44
2017,3.05,8.41,13,15.08,15.86,23.43,52.6,8.31
2018,1.69,7.69,10.79,15.82,15.97,24.83,51.98,9.38
2019,8.23,8.22,11.03,15.87,14.51,19.34,49.33,13.43
2020,6.46,9.04,10.11,15.04,17.78,16.45,51.39,6.14
2021,3.01,8.49,10.5,15.03,15.89,20.56,51.64,12.33
2022,1.94,9.38,11.2,13.77,14.26,24.1,50.48,11.52
2023,6.12,9.47,12.11,16.12,14.74,19.39,49.42,11.58
