year,AFG,PFG,SHR,TRE,LTR,BGR,annualTemp,annualPrecip
1986,9.7,24.78,13.74,4.37,12.28,18.09,50.98,14.03
1987,6.88,18.57,13.52,5.29,11.78,17.79,49.54,15.53
1988,3.55,22.87,14,6.7,12.84,18.36,49.7,10.05
1989,2.72,19.79,12.5,8.33,14.52,19.78,50.57,6.28
1990,1.85,22.94,11.35,6.97,13.03,22.32,50.25,11.59
1991,5.11,21.63,10.68,4.85,13.74,25.19,48.84,11.5
1992,1.79,20.84,9.79,10.48,14.12,21.29,50.2,12.45
1993,6.64,26.48,14.3,3.43,10.64,20.74,49.6,13.68
1994,9.77,19.42,13.38,3.64,13.87,23.24,51.47,11.08
1995,16.54,23.43,10.73,4.89,11.31,18.93,51.32,12.51
1996,10.81,17.11,10.39,5.02,18.41,24.98,52.28,11.21
1997,12.68,19.68,10.94,9.03,14.4,17.49,50.48,15.15
1998,9.41,21.09,12.5,7.61,16.13,15.54,50.88,12.43
1999,8.44,20.56,14.06,7.08,14.9,18.09,51.27,12.2
2000,6.07,18.88,13.83,5.79,15.34,25.05,52.32,11.12
2001,10.33,17.19,15.02,6.33,12.97,23.15,52.06,11
2002,6.74,18.94,13.07,5.67,15.89,24.33,51.37,8.11
2003,4.31,21.74,11.63,4.71,12.96,27.41,52.66,10.08
2004,5.81,19.54,12.23,8.05,13.21,22.48,50.8,13
2005,9.43,15.31,14.05,11.67,13.86,19.05,51.87,13.45
2006,4.71,17.43,13.57,9.38,15.4,20.54,51.49,14.05
2007,6.82,19.89,13.36,9.7,12.98,16.19,51.9,12.41
2008,5.06,23.08,12.58,9.27,14.34,15.37,49.98,10.04
2009,6.51,15.65,14.35,9.16,15.71,19,50.46,8.21
2010,14.21,15.35,14.75,9.43,12.76,21.63,50.75,11.94
2011,7.71,12.65,13.3,11.42,16.94,22.66,49.43,10.17
2012,7.59,10.77,13.04,13.49,15.79,23.27,52.79,7.23
2013,5.54,12.05,16.44,11.98,14.77,23.1,48.88,13.64
2014,7.66,12.86,16.2,12.09,13.41,22.46,52.13,9.79
2015,12.95,9.76,17.78,14.41,13.21,19.07,51.97,17.43
2016,10.3,9.26,22.07,14.42,13.29,19.31,51.75,10.72
2017,9.98,8.54,21.58,13.93,14.28,22.56,53.16,7.73
2018,7.41,9.66,19.2,13.57,13.77,24.98,52.52,8.76
2019,12.5,16.42,17.08,10.92,10.71,15.49,49.86,12.5
2020,8.65,20.22,14.31,10.33,15.44,13.66,51.86,5.79
2021,5.56,16.56,14.83,11.94,15.04,18.29,52.19,11.47
2022,5.01,12.06,15.51,14.38,13.15,21.69,50.92,10.85
2023,8.69,14.73,18.46,14.19,10.82,14.62,49.8,10.87
