year,AFG,PFG,SHR,TRE,LTR,BGR,annualTemp,annualPrecip
1986,7.87,19.45,18.45,3.07,14.82,23.35,51.03,12.85
1987,8.85,18.03,17.19,4.6,15.44,21.11,49.65,14.06
1988,5.19,18.44,20,3.86,16.68,21.68,49.76,8.98
1989,2.57,20.53,13.44,4.27,17.61,24.55,50.48,5.86
1990,1.82,21.77,10.67,5.24,15.28,27.27,50.32,10.89
1991,6.66,25.61,10.73,2.21,13.22,26.29,48.86,10.7
1992,4.95,26.34,13.37,3.85,14.56,20.62,50.54,10.88
1993,4.6,23.47,18.1,1.48,14.79,23.06,49.79,11.92
1994,6.15,23.3,16.41,0.91,14.43,25.08,51.52,9.81
1995,29.94,27.44,10.45,0.8,7.88,14.44,51.54,11.76
1996,14.65,18.94,8.39,1.57,22.6,20.9,52.66,9.98
1997,12.43,21.78,10.35,4.51,18.59,18.78,50.8,13.82
1998,18.44,18.31,14.4,1.97,17.59,18.2,51.16,11.44
1999,11.67,21.53,15.28,1.83,16.98,19.71,51.34,11.42
2000,10.3,21.41,12.93,1.7,19.29,23.24,52.53,10.1
2001,12.21,17.47,15.09,2.04,17.27,23.53,52.23,10.2
2002,3.74,19.81,13.87,1.49,20.19,26.93,51.46,7.56
2003,3.07,25.67,10.12,0.84,16.5,31.45,52.7,9.12
2004,5.85,23.04,12.93,1.48,14.01,29.31,51.03,11.98
2005,6.4,20.28,13.14,3.53,16.42,24.78,52.02,12.76
2006,3.97,22.26,11.56,2.82,17.98,26.98,51.49,13.08
2007,7.99,21.45,11.54,4.1,14.29,24.42,52.03,11.41
2008,7.73,22.14,9.17,7.57,17.99,18.63,50.21,9.55
2009,2.96,17.48,11.82,6.5,20.49,20.76,50.61,7.45
2010,12.08,23.37,12.19,2.63,13.97,22.15,50.62,10.88
2011,10.17,19.81,12.25,3.64,19.93,21.96,49.56,9.35
2012,6.42,21.62,10.73,4.57,19.93,22.45,52.9,6.99
2013,6.6,21.37,9.89,5.54,19.36,23.64,49.05,13.07
2014,7.49,16.25,14.41,7.04,17.91,23.18,51.99,9.29
2015,7.05,17.17,14.33,7.44,17.6,22.12,51.96,17.08
2016,8.85,14.4,16.94,6.35,19.55,20.59,51.69,9.46
2017,5.73,15.71,15.87,5.73,20.24,23.42,53.12,7.5
2018,3.82,15.75,14.31,5.7,17.66,26.75,52.5,8.02
2019,22.76,15.7,14.5,3.4,12.84,18.94,49.91,10.75
2020,15.25,16.09,11.98,3.35,22.23,15.95,51.88,5.37
2021,4.68,16.33,12.26,5.16,20.3,23.8,52.43,10.12
2022,2.52,13.99,14.09,6,15.6,27.38,51.25,10.28
2023,12.19,12.22,14.19,7.77,13.64,22.02,50.35,10.03
